CovarianceCase,ModelID,ModelClass,Rows,ParameterCount,Chi2,AIC,BIC,SignStableViolations,MeanAbsResidual,MinSigmaEffective,MaxSigmaEffective,ClaimBoundary
branch_scatter_diagonal,K1_NO_MEMORY,fair_null,8,0,13.633485250891926,13.633485250891926,13.633485250891926,0,2.053025679822352,0.0856771530193513,3.6072240725290423,branch_scatter_benchmark_no_measurement_validation
branch_scatter_diagonal,K2_LOCKED_RHO4,locked_prediction,8,0,9.864176617315042,9.864176617315042,9.864176617315042,0,1.740329078975185,0.0856771530193513,3.6072240725290423,branch_scatter_benchmark_no_measurement_validation
branch_scatter_diagonal,ZERO_RESPONSE_CONTROL,diagnostic_control,8,0,15.999999999999996,15.999999999999996,15.999999999999996,5,2.2234938839612974,0.0856771530193513,3.6072240725290423,branch_scatter_benchmark_no_measurement_validation
branch_scatter_diagonal,POLY_DEG2,overfit_risk_control,8,3,226.64498927641853,232.64498927641853,232.88331390145802,0,0.7046767618192085,0.0856771530193513,3.6072240725290423,branch_scatter_benchmark_no_measurement_validation
branch_scatter_diagonal,POLY_DEG3,overfit_risk_control,8,4,208.173170702303,216.173170702303,216.49093686902233,0,0.6206755083396288,0.0856771530193513,3.6072240725290423,branch_scatter_benchmark_no_measurement_validation
native_plus_branch_scatter_quadrature,K1_NO_MEMORY,fair_null,8,0,12.485853667246928,12.485853667246928,12.485853667246928,0,2.053025679822352,0.12456642562011361,3.6072552328686274,branch_scatter_benchmark_no_measurement_validation
native_plus_branch_scatter_quadrature,K2_LOCKED_RHO4,locked_prediction,8,0,8.766726844881331,8.766726844881331,8.766726844881331,0,1.740329078975185,0.12456642562011361,3.6072552328686274,branch_scatter_benchmark_no_measurement_validation
native_plus_branch_scatter_quadrature,ZERO_RESPONSE_CONTROL,diagnostic_control,8,0,14.827266457605548,14.827266457605548,14.827266457605548,5,2.2234938839612974,0.12456642562011361,3.6072552328686274,branch_scatter_benchmark_no_measurement_validation
native_plus_branch_scatter_quadrature,POLY_DEG2,overfit_risk_control,8,3,108.22140099445012,114.22140099445012,114.45972561948963,0,0.7046767618192085,0.12456642562011361,3.6072552328686274,branch_scatter_benchmark_no_measurement_validation
native_plus_branch_scatter_quadrature,POLY_DEG3,overfit_risk_control,8,4,98.98609193732969,106.98609193732969,107.30385810404903,0,0.6206755083396288,0.12456642562011361,3.6072552328686274,branch_scatter_benchmark_no_measurement_validation
max_native_or_branch_scatter,K1_NO_MEMORY,fair_null,8,0,13.429587993885113,13.429587993885113,13.429587993885113,0,2.053025679822352,0.0904224520916678,3.6072240725290423,branch_scatter_benchmark_no_measurement_validation
max_native_or_branch_scatter,K2_LOCKED_RHO4,locked_prediction,8,0,9.66089173067641,9.66089173067641,9.66089173067641,0,1.740329078975185,0.0904224520916678,3.6072240725290423,branch_scatter_benchmark_no_measurement_validation
max_native_or_branch_scatter,ZERO_RESPONSE_CONTROL,diagnostic_control,8,0,15.795591285731224,15.795591285731224,15.795591285731224,5,2.2234938839612974,0.0904224520916678,3.6072240725290423,branch_scatter_benchmark_no_measurement_validation
max_native_or_branch_scatter,POLY_DEG2,overfit_risk_control,8,3,203.6788510625863,209.6788510625863,209.9171756876258,0,0.7046767618192085,0.0904224520916678,3.6072240725290423,branch_scatter_benchmark_no_measurement_validation
max_native_or_branch_scatter,POLY_DEG3,overfit_risk_control,8,4,186.99629423225048,194.99629423225048,195.31406039896981,0,0.6206755083396288,0.0904224520916678,3.6072240725290423,branch_scatter_benchmark_no_measurement_validation
branch_scatter_nearest_neighbor_corr_0p25,K1_NO_MEMORY,fair_null,8,0,13.170922155937516,13.170922155937516,13.170922155937516,0,2.053025679822352,0.0856771530193513,3.6072240725290423,branch_scatter_benchmark_no_measurement_validation
branch_scatter_nearest_neighbor_corr_0p25,K2_LOCKED_RHO4,locked_prediction,8,0,10.103412377960918,10.103412377960918,10.103412377960918,0,1.740329078975185,0.0856771530193513,3.6072240725290423,branch_scatter_benchmark_no_measurement_validation
branch_scatter_nearest_neighbor_corr_0p25,ZERO_RESPONSE_CONTROL,diagnostic_control,8,0,15.154322357873966,15.154322357873966,15.154322357873966,5,2.2234938839612974,0.0856771530193513,3.6072240725290423,branch_scatter_benchmark_no_measurement_validation
